query_id,query,query_type,expected_movie_id,expected_title,bm25_hit@1,bm25_hit@3,bm25_hit@5,bm25_hit@10,bm25_mrr,bm25_top1,dense_hit@1,dense_hit@3,dense_hit@5,dense_hit@10,dense_mrr,dense_top1
1,"I remember a movie where along with her husband and three children, marthe lives in an eden of her own creation, nearly isolated",plot_memory,61222,Home,1,1,1,1,1.0,Home,1,1,1,1,1.0,Home
2,find a drama movie directed by Ursula Meier with Isabelle Huppert and Adélaïde Leroux,cast_director,61222,Home,1,1,1,1,1.0,Home,0,1,1,1,0.5,Elle
3,movie about highway and sunscreen in a drama setting,keyword_theme,61222,Home,0,0,0,1,0.1429,The Artist,0,0,0,0,0.0,Suncoast
4,"drama film released around 2008 with plot like along with her husband and three children, marthe lives in an eden of her own creation, nearly isolated",year_constraint,61222,Home,1,1,1,1,1.0,Home,1,1,1,1,1.0,Home
5,"I remember a movie where an unprecedented series of violent tornadoes is sweeping across oklahoma. tornado chasers, headed by dr. jo harding, attempt",plot_memory,664,Twister,1,1,1,1,1.0,Twister,1,1,1,1,1.0,Twister
6,find a action movie directed by Jan de Bont with Helen Hunt and Bill Paxton,cast_director,664,Twister,1,1,1,1,1.0,Twister,0,0,0,0,0.0,Hunting Season
7,movie about husband wife relationship and climate in a action setting,keyword_theme,664,Twister,1,1,1,1,1.0,Twister,0,0,0,0,0.0,When a Man Loves a Woman
8,"action film released around 1996 with plot like an unprecedented series of violent tornadoes is sweeping across oklahoma. tornado chasers, headed by dr. jo harding, attempt",year_constraint,664,Twister,1,1,1,1,1.0,Twister,1,1,1,1,1.0,Twister
9,I remember a movie where cuba is not a country for young gays. teen rent boy reinier falls in love with a mate,plot_memory,201277,The Last Match,1,1,1,1,1.0,The Last Match,1,1,1,1,1.0,The Last Match
10,find a drama movie directed by Antonio Hens with Milton García and Reinier Díaz,cast_director,201277,The Last Match,1,1,1,1,1.0,The Last Match,0,0,0,0,0.0,War Room
