query_id,query_type,query,expected_movie_id,expected_title,pred_top1_movie_id,pred_top1_title,route,latency_sec,hit@1,hit@3,hit@5,hit@10,rr
1,plot_memory,"I remember a movie where along with her husband and three children, marthe lives in an eden of her own creation, nearly isolated",61222,Home,61222,Home,HARD,3.5028,1,1,1,1,1.0
2,cast_director,find a drama movie directed by Ursula Meier with Isabelle Huppert and Adélaïde Leroux,61222,Home,61222,Home,HARD,1.659,1,1,1,1,1.0
3,keyword_theme,movie about highway and sunscreen in a drama setting,61222,Home,61222,Home,HARD,1.6536,1,1,1,1,1.0
4,year_constraint,"drama film released around 2008 with plot like along with her husband and three children, marthe lives in an eden of her own creation, nearly isolated",61222,Home,61222,Home,HARD,1.6188,1,1,1,1,1.0
5,plot_memory,"I remember a movie where an unprecedented series of violent tornadoes is sweeping across oklahoma. tornado chasers, headed by dr. jo harding, attempt",664,Twister,664,Twister,HARD,1.8272,1,1,1,1,1.0
6,cast_director,find a action movie directed by Jan de Bont with Helen Hunt and Bill Paxton,664,Twister,664,Twister,HARD,1.5942,1,1,1,1,1.0
7,keyword_theme,movie about husband wife relationship and climate in a action setting,664,Twister,664,Twister,HARD,1.5692,1,1,1,1,1.0
8,year_constraint,"action film released around 1996 with plot like an unprecedented series of violent tornadoes is sweeping across oklahoma. tornado chasers, headed by dr. jo harding, attempt",664,Twister,664,Twister,HARD,1.5378,1,1,1,1,1.0
9,plot_memory,I remember a movie where cuba is not a country for young gays. teen rent boy reinier falls in love with a mate,201277,The Last Match,201277,The Last Match,HARD,1.6034,1,1,1,1,1.0
10,cast_director,find a drama movie directed by Antonio Hens with Milton García and Reinier Díaz,201277,The Last Match,201277,The Last Match,HARD,1.6162,1,1,1,1,1.0
11,keyword_theme,movie about hustler and male prostitution in a drama setting,201277,The Last Match,518496,Sauvage,HARD,1.9722,0,1,1,1,0.5
12,year_constraint,drama film released around 2013 with plot like cuba is not a country for young gays. teen rent boy reinier falls in love with a mate,201277,The Last Match,201277,The Last Match,HARD,1.6516,1,1,1,1,1.0
13,plot_memory,I remember a movie where a domineering but charismatic rancher wages a war of intimidation on his brother's new wife and her teen,600583,The Power of the Dog,600583,The Power of the Dog,HARD,1.6294,1,1,1,1,1.0
14,cast_director,find a drama movie directed by Jane Campion with Benedict Cumberbatch and Kodi Smit-McPhee,600583,The Power of the Dog,600583,The Power of the Dog,HARD,1.5832,1,1,1,1,1.0
15,keyword_theme,movie about husband wife relationship and based on novel or book in a drama setting,600583,The Power of the Dog,340613,The Wife,HARD,1.6443,0,0,0,0,0.0
16,year_constraint,drama film released around 2021 with plot like a domineering but charismatic rancher wages a war of intimidation on his brother's new wife and her teen,600583,The Power of the Dog,7445,Brothers,HARD,7.1948,0,1,1,1,0.5
17,plot_memory,I remember a movie where seventeen-year-old stella spends most of her time in the hospital as a cystic fibrosis patient. her life is,527641,Five Feet Apart,527641,Five Feet Apart,HARD,1.6055,1,1,1,1,1.0
18,cast_director,find a romance movie directed by Justin Baldoni with Haley Lu Richardson and Cole Sprouse,527641,Five Feet Apart,527641,Five Feet Apart,HARD,1.6151,1,1,1,1,1.0
19,keyword_theme,movie about forbidden love and terminal illness in a romance setting,527641,Five Feet Apart,527641,Five Feet Apart,HARD,1.6614,1,1,1,1,1.0
20,year_constraint,romance film released around 2019 with plot like seventeen-year-old stella spends most of her time in the hospital as a cystic fibrosis patient. her life is,527641,Five Feet Apart,527641,Five Feet Apart,HARD,1.7177,1,1,1,1,1.0
21,plot_memory,"I remember a movie where george, host of a television show focusing on literature, receives videos shot on the sly that feature his",445,Caché,445,Caché,HARD,1.529,1,1,1,1,1.0
22,cast_director,find a mystery movie directed by Michael Haneke with Daniel Auteuil and Juliette Binoche,445,Caché,445,Caché,HARD,1.6504,1,1,1,1,1.0
23,keyword_theme,movie about dreams and paris in a mystery setting,445,Caché,300,The Science of Sleep,HARD,1.7618,0,0,0,0,0.0
24,year_constraint,"mystery film released around 2005 with plot like george, host of a television show focusing on literature, receives videos shot on the sly that feature his",445,Caché,445,Caché,HARD,1.8531,1,1,1,1,1.0
25,plot_memory,"I remember a movie where socially awkward muriel heslop wants nothing more than to get married. unfortunately, due to her oppressive politician father,",236,Muriel's Wedding,236,Muriel's Wedding,HARD,1.8522,1,1,1,1,1.0
26,cast_director,find a comedy movie directed by P.J. Hogan with Toni Collette and Bill Hunter,236,Muriel's Wedding,236,Muriel's Wedding,HARD,2.1854,1,1,1,1,1.0
27,keyword_theme,movie about daughter and individual in a comedy setting,236,Muriel's Wedding,32195,My Date with the President's Daughter,HARD,1.6125,0,0,0,0,0.0
